city,latitude,longitude,occurrences
Washington,38.8949549,-77.0366456,5
Barcelona,41.3828939,2.1774322,4
Los angeles,34.054935,-118.244476,15
Palo,42.3231958,0.2440283,1
Berlin,52.5170365,13.3888599,22
New york,40.7306458,-73.9866136,54
San diego,32.7174209,-117.1627714,8
Mobile,30.6943566,-88.0430541,4
Plano,33.0136764,-96.6925096,1
Linz,48.3059078,14.286198,1
Boston,42.3604823,-71.0595678,21
San francisco,37.7749,-122.4194,114
Chicago,41.8755546,-87.6244212,15
London,51.5073219,-0.1276474,59
Vancouver,49.2608724,-123.1139529,9
Houston,29.7589382,-95.3676974,7
New york city,40.7306458,-73.9866136,18
Toronto,43.653963,-79.387207,21
Hamburg,53.550341,10.000654,4
Ventura,34.364744,-119.310582304204,1
Austin,30.2711286,-97.7436995,12
Palo alto,37.442156,-122.1634472,8
Cornwall,50.416667,-4.75,1
Cambridge,52.2033051,0.124862,9
Portland,45.5202471,-122.6741949,6
Beloit,42.5083272,-89.031784,1
Koblenz,50.3533278,7.5943951,1
Copenhagen,55.6867243,12.5700724,7
Seattle,47.6038321,-122.3300624,17
Paris,48.8566101,2.3514992,11
Santa monica,34.019657,-118.487549,7
Trondheim,63.4305658,10.3951929,1
New orleans,30.03280175,-89.9750054503052,1
San mateo,37.496904,-122.3330573,4
Amsterdam,52.3745403,4.89797550561798,12
Florence,34.79981,-87.677251,1
Columbia,34.0007493,-81.0343313,2
Redwood city,37.4863239,-122.2325233,6
Alexandria,38.8147596,-77.0902476527272,2
Tucson,32.2218917,-110.9262353,1
San jose,13.87439165,121.090755619274,2
Kansas city,39.0844687,-94.5630298,1
Cupertino,37.3230107,-122.0322519,3
Marlboro,41.6056492,-73.9715276,1
Young,-34.3103512,148.2971801,1
Munich,48.1371079,11.5753822,2
Madison,43.074761,-89.3837613,1
Melbourne,-37.8142176,144.9631608,6
Franklin,42.5896205,-72.6110645,1
Mountain view,37.3893889,-122.0832101,8
Sundsvall,62.3907552,17.3071024,1
Oakland,37.8044557,-122.2713563,7
São paulo,-23.5506507,-46.6333824,1
Salt,41.9741672,2.7949886,1
Edinburgh,55.9495628,-3.1914972,3
Philadelphia,39.9523993,-75.1635899,5
Soma,37.7957423,140.9159895,2
Bangalore,12.9791198,77.5912997,4
Milwaukee,43.0349931,-87.922497,2
Berkeley,37.8708393,-122.2728639,2
Bangkok,-7.846423,112.1005469,1
Los gatos,37.226611,-121.9746797,4
Tampa,27.9477595,-82.458444,2
Burlington,44.4723989,-73.2114941,1
Gainesville,29.6519396,-82.3249961,1
Santa clara,37.3541132,-121.9551744,3
American fork,40.3768954,-111.7957645,1
Stockholm,59.3251172,18.0710935,6
Sunnyvale,37.3688301,-122.0363496,3
Fairfax,38.8462236,-77.3063733,1
Surrey,51.2715316,-0.341452351129091,1
Boulder,40.0149856,-105.2705456,4
Versailles,48.8035403,2.1266886,1
Ontario,50.000678,-86.000977,1
Santa barbara,34.4221319,-119.7026673,1
Southfield,42.4733689,-83.2218731,1
Sydney,-33.8548157,151.2164539,4
Jersey city,40.7281575,-74.0776417,1
Denver,39.7391536,-104.9847034,4
Detroit,42.3486635,-83.0567375,1
The hague,-33.9583333,18.6416667,1
Maryland,39.5162234,-76.9382069,2
Salt lake city,40.7670126,-111.8904308,3
Menlo park,37.4538274,-122.1821871,2
Karlsruhe,49.014068,8.404437,1
Providence,41.8239891,-71.4128343,1
Irvine,33.6856969,-117.8259819,1
Columbus,39.9622601,-83.0007065,1
Herndon,38.9695316,-77.3859479,1
Cincinnati,39.1014537,-84.5124602,1
Birmingham,52.4776875,-1.8948516,2
Oxford,51.7520131,-1.2578499,2
Atlanta,33.7490987,-84.3901849,4
Porto,41.1494512,-8.6107884,1
Rome,34.257038,-85.1646726,1
David,47.0385725,26.6682689475117,2
Naples,26.1420358,-81.7948103,1
Delaware,38.6920451,-75.4013315,1
Tokyo,34.6968642,139.4049033,2
Peer,51.10874,5.44915721900614,1
Tulsa,36.1556805,-95.9929113,1
Shanghai,39.4414872,-78.1322246,2
Arlington,32.701939,-97.1057149357776,2
Brisbane,-27.4689682,153.0234991,1
Ottawa,45.421106,-75.690308,1
Brooklyn,25.0611359,-77.3129254560189,3
Dublin,53.3497645,-6.2602732,3
Cebu,10.45,123.84,1
Baltimore,39.2908816,-76.610759,1
Monte-carlo,43.7402961,7.426559,1
Manchester,53.4791301,-2.2441009,2
Eindhoven,51.44855695,5.45012252185714,1
Las vegas,36.1662859,-115.149225,1
Lehi,40.3880902,-111.8491619,2
Nashua,42.7653662,-71.467566,1
Minneapolis,44.9772995,-93.2654692,2
Bogotá,4.5980772,-74.0761028,1
Nava,43.3582216,-5.5056766,1
Miami,25.7742658,-80.1936589,2
